video_url,author,text,likes,label,clean_text
https://www.youtube.com/watch?v=MUC5kNCMetY,@Haunterie,The 3rd one is a flood not a tsunami they are common here in Turkey get your facts right,0,1,one flood tsunami common turkey get fact right
https://www.youtube.com/watch?v=MUC5kNCMetY,@patrickcarter4012,His Spanish is horrible. 🤣🤣🤣,0,0,spanish horrible
https://www.youtube.com/watch?v=MUC5kNCMetY,@fernandover9538,Hay 2 tipos de Tsunamis los de verdad y los de Hollywood ...🤣🤣🤣🤣🤣,0,,hay tipos tsunami los verdad los hollywood
https://www.youtube.com/watch?v=MUC5kNCMetY,@Gamingwithsaturo,5:12  that lady was confused as hell,1,0,lady confused hell
https://www.youtube.com/watch?v=MUC5kNCMetY,@Gamingwithsaturo,3:12 KUROMASHINAISISDDAS,0,,kuromashinaisisddas
https://www.youtube.com/watch?v=MUC5kNCMetY,@Gamingwithsaturo,2:00  WOOOOOOOAAAAAAAAAHHHHHHHH,0,0,woooooooaaaaaaaaahhhhhhhh
https://www.youtube.com/watch?v=MUC5kNCMetY,@FastEddy1959,"Is the first one A.I. generated, or C.G.I? Or are those synonymous?",0,0,first one generated synonymous
https://www.youtube.com/watch?v=MUC5kNCMetY,@jeromed2,"We wanna see 50-100m waves caught on camera, not sissy waves like these...",0,0,wanna see wave caught camera sissy wave like
https://www.youtube.com/watch?v=MUC5kNCMetY,@janicevasey4038,Where we live we have two gullies between us and the ocean so I always hope we’re safe!,0,0,live two gully ocean always hope safe
https://www.youtube.com/watch?v=MUC5kNCMetY,@Princess_Emu,It's just big waves,0,1,big wave
https://www.youtube.com/watch?v=MUC5kNCMetY,@gubby-q6y,oahhhhhh ohhhhhh,0,0,oahhhhhh ohhhhhh
https://www.youtube.com/watch?v=MUC5kNCMetY,@dianacryer,It’s called the paradise tax.,0,0,called paradise tax
https://www.youtube.com/watch?v=MUC5kNCMetY,@Elitecamz0,WHY DO PEOPLE STAND THERE LIKE THIS WILL BE GREAT FOR THE INTERNET LIKE WHY R THEY SO STUPID,1,0,people stand like great internet like stupid
https://www.youtube.com/watch?v=MUC5kNCMetY,@Asia-sk8lc,'¡ time to float !',0,0,time float
https://www.youtube.com/watch?v=MUC5kNCMetY,@KanealaKauahi-Kahookele,We had a tsunami but it did not hit us,0,1,tsunami hit
https://www.youtube.com/watch?v=MUC5kNCMetY,@JOYCERANNE-PEREZ,You WHY DO PEOPLE IGNORE WARNINGS AND 😮LEAVE CARS THERE BY RETAINER WALLS ?? STUPID!!!!,1,1,people ignore warning leave car retainer wall stupid
https://www.youtube.com/watch?v=MUC5kNCMetY,@Tigglytoot,The most terrifying natural disaster to exist- hands down.,0,1,terrifying natural disaster exist hand
https://www.youtube.com/watch?v=MUC5kNCMetY,@BobChancer,"Why are these called acts of god?
Mother nature is the one doing this sh*t!
Always the woman not the man....",0,0,called act god mother nature one always woman man
https://www.youtube.com/watch?v=MUC5kNCMetY,@dredenny6654,"19,000 dead is crazy",0,1,dead crazy
https://www.youtube.com/watch?v=MUC5kNCMetY,@dcpalmtree826,When To... Head to the Mountains...✨✨✨✨✨✨✨,0,1,head mountain
https://www.youtube.com/watch?v=MUC5kNCMetY,@LindaMerchant-c8x8i,Seiche waves,0,0,seiche wave
https://www.youtube.com/watch?v=MUC5kNCMetY,@LindaMerchant-c8x8i,Riding it out,0,1,riding
https://www.youtube.com/watch?v=MUC5kNCMetY,@dochlldy,"But if I remember the story right,very little,if any of the wave got out of the bay.",0,0,remember story right little wave got bay
https://www.youtube.com/watch?v=MUC5kNCMetY,@LindaMerchant-c8x8i,Rogue waves tsunami,0,1,rogue wave tsunami
https://www.youtube.com/watch?v=MUC5kNCMetY,@verothomas1524,"Tsunamis is v
Based on the shape of the basin",0,1,tsunami based shape basin
https://www.youtube.com/watch?v=MUC5kNCMetY,@gilberrocal1363,40 meters high ! I dont think so!!!,0,0,meter high dont think
https://www.youtube.com/watch?v=MUC5kNCMetY,@Amfnenxbxjjjjss,"Eh these video clips suck, there’s ones 1,000x better than this… this is weak views compared to what I’ve seen",0,0,video clip suck one better weak view compared seen
